分类: 🍉┃咪咕频道, 名称: CCTV-05咪咕, 有效: 6, IPv4: 14, IPv6: 0, 最小延迟: 14 ms, 最高速率: 44.82 MiB/s, 平均速率: 14.17 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-06咪咕, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 14 ms, 最高速率: 49.90 MiB/s, 平均速率: 30.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-07咪咕, 有效: 6, IPv4: 11, IPv6: 0, 最小延迟: 14 ms, 最高速率: 43.06 MiB/s, 平均速率: 19.66 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-08咪咕, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 14 ms, 最高速率: 40.26 MiB/s, 平均速率: 20.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-09咪咕, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 14 ms, 最高速率: 42.05 MiB/s, 平均速率: 29.81 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-10咪咕, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 14 ms, 最高速率: 34.80 MiB/s, 平均速率: 27.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-11咪咕, 有效: 6, IPv4: 9, IPv6: 0, 最小延迟: 14 ms, 最高速率: 56.62 MiB/s, 平均速率: 33.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-12咪咕, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 14 ms, 最高速率: 45.71 MiB/s, 平均速率: 31.19 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-13咪咕, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 14 ms, 最高速率: 50.76 MiB/s, 平均速率: 46.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 🍉┃咪咕频道, 名称: CCTV-14咪咕, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 11 ms, 最高速率: 41.97 MiB/s, 平均速率: 32.18 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 🍉┃咪咕频道, 名称: CCTV-15咪咕, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 15 ms, 最高速率: 43.58 MiB/s, 平均速率: 20.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-16咪咕, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 58 ms, 最高速率: 50.20 MiB/s, 平均速率: 37.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV-17咪咕, 有效: 7, IPv4: 8, IPv6: 0, 最小延迟: 15 ms, 最高速率: 52.13 MiB/s, 平均速率: 28.36 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍉┃咪咕频道, 名称: CCTV4欧洲咪咕, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 395 ms, 最高速率: 0.40 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 🍉┃咪咕频道, 名称: CCTV4美洲咪咕, 有效: 0, IPv4: 32, IPv6: 0, 最小延迟: 235 ms, 最高速率: 0.42 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
